Date/Time,Environmental Audio Exposure (dBASPL),Source
2022-02-21 20:54:48,75.37,Mithat Can’s Apple Watch
2022-02-21 21:24:43,74.3,Mithat Can’s Apple Watch
2022-02-21 21:54:38,74.46,Mithat Can’s Apple Watch
2022-02-21 22:24:33,72.69,Mithat Can’s Apple Watch
2022-02-21 22:54:33,44.15,Mithat Can’s Apple Watch
2022-02-21 23:24:33,64.79,Mithat Can’s Apple Watch
2022-02-21 23:54:33,67.85,Mithat Can’s Apple Watch
2022-02-22 00:24:33,64.13,Mithat Can’s Apple Watch
2022-02-22 00:54:30,62.1,Mithat Can’s Apple Watch
2022-02-22 01:24:25,56.26,Mithat Can’s Apple Watch
2022-02-22 01:54:20,49.32,Mithat Can’s Apple Watch
2022-02-22 15:37:24,50.44,Mithat Can’s Apple Watch
2022-02-22 16:07:19,46.9,Mithat Can’s Apple Watch
2022-02-22 16:37:19,73.37,Mithat Can’s Apple Watch
2022-02-22 17:07:19,69.39,Mithat Can’s Apple Watch
2022-02-22 17:37:14,77.43,Mithat Can’s Apple Watch
2022-02-22 18:07:09,57.31,Mithat Can’s Apple Watch
2022-02-23 16:58:25,77.72,Mithat Can’s Apple Watch
2022-02-23 17:28:25,79.62,Mithat Can’s Apple Watch
2022-02-23 17:58:20,72.94,Mithat Can’s Apple Watch
2022-02-23 18:28:20,70.51,Mithat Can’s Apple Watch
2022-02-23 18:58:15,68.85,Mithat Can’s Apple Watch
2022-02-23 19:28:10,80.73,Mithat Can’s Apple Watch
2022-02-23 19:58:05,73.74,Mithat Can’s Apple Watch
2022-02-23 20:28:00,73.24,Mithat Can’s Apple Watch
2022-02-23 20:57:55,82.25,Mithat Can’s Apple Watch
2022-02-23 21:27:55,78.36,Mithat Can’s Apple Watch
2022-02-23 21:57:50,77.17,Mithat Can’s Apple Watch
2022-02-23 22:27:45,78.47,Mithat Can’s Apple Watch
2022-02-23 22:57:45,73.37,Mithat Can’s Apple Watch
2022-02-23 23:27:45,82.37,Mithat Can’s Apple Watch
2022-02-23 23:57:40,89.61,Mithat Can’s Apple Watch
2022-02-24 00:27:40,65.79,Mithat Can’s Apple Watch
2022-02-24 00:57:35,69.27,Mithat Can’s Apple Watch
2022-02-24 19:35:12,67.03,Mithat Can’s Apple Watch
2022-02-24 20:05:12,69.93,Mithat Can’s Apple Watch
2022-02-24 20:35:12,68.13,Mithat Can’s Apple Watch
2022-02-24 21:05:07,86.81,Mithat Can’s Apple Watch
2022-02-24 21:35:07,95.45,Mithat Can’s Apple Watch
2022-02-24 21:59:52,93.07,Mithat Can’s Apple Watch
2022-02-24 22:24:17,91.26,Mithat Can’s Apple Watch
2022-02-24 22:54:07,84.42,Mithat Can’s Apple Watch
2022-02-24 23:24:02,93.76,Mithat Can’s Apple Watch
2022-02-24 23:53:57,101.85,Mithat Can’s Apple Watch
2022-02-25 00:18:12,100.86,Mithat Can’s Apple Watch
2022-02-25 00:42:17,102.38,Mithat Can’s Apple Watch
2022-02-25 01:06:57,100.31,Mithat Can’s Apple Watch
2022-02-25 01:31:02,79.64,Mithat Can’s Apple Watch
2022-02-25 02:00:57,77.19,Mithat Can’s Apple Watch
2022-02-25 02:30:57,66.81,Mithat Can’s Apple Watch
2022-02-25 10:55:36,70.2,Mithat Can’s Apple Watch
2022-02-25 11:25:31,67.91,Mithat Can’s Apple Watch
