Date/Time,Heart Rate Variability (ms),Source
2022-04-09 11:18:14,49.72,Mithat Can’s Apple Watch
2022-04-09 14:38:05,76.3,Mithat Can’s Apple Watch
2022-04-09 21:02:42,31.69,Mithat Can’s Apple Watch
2022-04-10 00:43:04,28.95,Mithat Can’s Apple Watch
2022-04-11 10:10:45,46.94,Mithat Can’s Apple Watch
2022-04-11 14:10:45,42.11,Mithat Can’s Apple Watch
2022-04-12 14:59:51,27.73,Mithat Can’s Apple Watch
2022-04-12 18:35:58,48.07,Mithat Can’s Apple Watch
2022-04-12 22:23:42,17.12,Mithat Can’s Apple Watch
2022-04-13 08:44:15,27.2,Mithat Can’s Apple Watch
2022-04-13 09:04:21,55.09,Mithat Can’s Apple Watch
2022-04-13 13:11:13,31.88,Mithat Can’s Apple Watch
2022-04-13 17:28:17,58.4,Mithat Can’s Apple Watch
2022-04-14 10:26:12,19.36,Mithat Can’s Apple Watch
2022-04-14 13:12:23,47.59,Mithat Can’s Apple Watch
2022-04-14 18:28:42,32.78,Mithat Can’s Apple Watch
2022-04-14 21:17:16,52.16,Mithat Can’s Apple Watch
2022-04-16 13:23:22,31.43,Mithat Can’s Apple Watch
2022-04-16 18:27:40,53.2,Mithat Can’s Apple Watch
2022-04-16 21:29:57,50.32,Mithat Can’s Apple Watch
2022-04-18 21:12:46,53.42,Mithat Can’s Apple Watch
2022-04-19 10:21:10,22.7,Mithat Can’s Apple Watch
2022-04-19 14:33:13,44.51,Mithat Can’s Apple Watch
2022-04-19 20:57:49,64.45,Mithat Can’s Apple Watch
2022-04-20 20:04:44,41.65,Mithat Can’s Apple Watch
2022-04-20 20:28:08,45.51,Mithat Can’s Apple Watch
2022-04-21 12:11:46,25,Mithat Can’s Apple Watch
2022-04-21 12:27:42,50.96,Mithat Can’s Apple Watch
2022-04-21 22:34:23,63.19,Mithat Can’s Apple Watch
2022-04-22 15:56:06,37.87,Mithat Can’s Apple Watch
2022-04-22 16:31:50,49.76,Mithat Can’s Apple Watch
2022-04-22 20:52:40,72.62,Mithat Can’s Apple Watch
2022-04-23 01:28:47,44.26,Mithat Can’s Apple Watch
2022-04-23 20:23:38,37.79,Mithat Can’s Apple Watch
2022-04-24 00:54:53,50.24,Mithat Can’s Apple Watch
2022-04-24 15:50:37,17.78,Mithat Can’s Apple Watch
2022-04-24 23:50:20,55.22,Mithat Can’s Apple Watch
2022-04-25 00:52:20,48.05,Mithat Can’s Apple Watch
2022-04-26 11:59:58,43.52,Mithat Can’s Apple Watch
2022-04-26 13:35:38,42.4,Mithat Can’s Apple Watch
2022-04-26 16:27:29,33.56,Mithat Can’s Apple Watch
2022-04-27 20:56:36,52.89,Mithat Can’s Apple Watch
2022-04-28 14:14:04,11.47,Mithat Can’s Apple Watch
2022-04-28 15:01:50,42.49,Mithat Can’s Apple Watch
2022-04-28 18:33:33,40.23,Mithat Can’s Apple Watch
2022-04-29 15:09:45,20.44,Mithat Can’s Apple Watch
2022-04-29 18:05:17,134.68,Mithat Can’s Apple Watch
2022-04-29 23:32:25,59.49,Mithat Can’s Apple Watch
2022-04-30 22:41:50,82.35,Mithat Can’s Apple Watch
2022-05-04 09:18:27,31.33,Mithat Can’s Apple Watch
2022-05-04 11:57:14,41.55,Mithat Can’s Apple Watch
2022-05-04 15:32:46,32.9,Mithat Can’s Apple Watch
2022-05-04 19:35:15,47.51,Mithat Can’s Apple Watch
2022-05-04 23:16:12,67.07,Mithat Can’s Apple Watch
2022-05-05 17:59:35,80.46,Mithat Can’s Apple Watch
2022-05-05 19:35:52,44.95,Mithat Can’s Apple Watch
2022-05-07 09:01:33,33.63,Mithat Can’s Apple Watch
2022-05-07 09:10:45,43.23,Mithat Can’s Apple Watch
2022-05-07 18:54:41,21.17,Mithat Can’s Apple Watch
2022-05-10 14:36:41,25.29,Mithat Can’s Apple Watch
2022-05-11 17:47:26,57.51,Mithat Can’s Apple Watch
2022-05-11 20:18:19,26.19,Mithat Can’s Apple Watch
2022-05-11 22:32:21,31.88,Mithat Can’s Apple Watch
2022-05-12 18:12:29,40.05,Mithat Can’s Apple Watch
2022-05-12 18:38:39,62.91,Mithat Can’s Apple Watch
2022-05-14 12:41:37,41.54,Mithat Can’s Apple Watch
2022-05-14 16:19:05,62.48,Mithat Can’s Apple Watch
2022-05-14 18:52:31,25.58,Mithat Can’s Apple Watch
2022-05-14 22:36:50,53.08,Mithat Can’s Apple Watch
2022-05-17 11:43:42,47.66,Mithat Can’s Apple Watch
2022-05-17 15:00:47,53.51,Mithat Can’s Apple Watch
2022-05-17 19:22:24,24.2,Mithat Can’s Apple Watch
2022-05-18 12:56:04,37.47,Mithat Can’s Apple Watch
2022-05-18 14:38:16,63.14,Mithat Can’s Apple Watch
2022-05-19 10:37:02,21.77,Mithat Can’s Apple Watch
2022-05-19 18:37:34,64.43,Mithat Can’s Apple Watch
2022-05-19 22:53:42,63.53,Mithat Can’s Apple Watch
2022-05-20 16:45:40,16.91,Mithat Can’s Apple Watch
2022-05-20 18:32:20,57.85,Mithat Can’s Apple Watch
2022-05-21 16:15:32,27.96,Mithat Can’s Apple Watch
2022-05-22 17:43:21,24.24,Mithat Can’s Apple Watch
2022-05-25 11:57:17,56.68,Mithat Can’s Apple Watch
2022-05-25 13:16:01,40.85,Mithat Can’s Apple Watch
2022-05-25 17:32:29,44.29,Mithat Can’s Apple Watch
2022-05-25 22:30:17,48.64,Mithat Can’s Apple Watch
2022-05-26 21:09:25,57.6,Mithat Can’s Apple Watch
2022-05-26 21:50:31,63.75,Mithat Can’s Apple Watch
2022-06-01 15:49:14,34.3,Mithat Can’s Apple Watch
2022-06-01 17:41:53,78.25,Mithat Can’s Apple Watch
2022-06-02 11:14:07,53.25,Mithat Can’s Apple Watch
2022-06-02 14:16:41,65.5,Mithat Can’s Apple Watch
