Date/Time,Resting Heart Rate (count/min),Source
2022-11-12 00:02:43,64,Mithat Can’s Apple Watch
2022-11-13 21:24:47,83,Mithat Can’s Apple Watch
2022-11-14 15:55:03,76,Mithat Can’s Apple Watch
2022-11-15 12:55:31,78,Mithat Can’s Apple Watch
2022-11-16 00:03:21,63,Mithat Can’s Apple Watch
2022-11-17 00:02:35,69,Mithat Can’s Apple Watch
2022-11-18 00:02:52,64,Mithat Can’s Apple Watch
2022-11-19 00:00:33,71,Mithat Can’s Apple Watch
2022-11-20 00:09:09,73,Mithat Can’s Apple Watch
2022-11-21 18:14:18,74,Mithat Can’s Apple Watch
2022-11-22 13:43:40,64,Mithat Can’s Apple Watch
2022-11-24 00:01:12,74,Mithat Can’s Apple Watch
2022-11-25 00:03:26,69,Mithat Can’s Apple Watch
2022-11-26 10:42:00,59,Mithat Can’s Apple Watch
2022-11-27 00:04:48,66,Mithat Can’s Apple Watch
2022-11-28 13:06:05,76,Mithat Can’s Apple Watch
2022-11-29 00:01:51,72,Mithat Can’s Apple Watch
2022-11-30 00:00:54,77,Mithat Can’s Apple Watch
2022-12-01 00:05:01,73,Mithat Can’s Apple Watch
2022-12-02 00:00:22,66,Mithat Can’s Apple Watch
2022-12-05 15:36:50,73,Mithat Can’s Apple Watch
2022-12-06 12:54:09,72,Mithat Can’s Apple Watch
2022-12-07 00:04:05,68,Mithat Can’s Apple Watch
2022-12-08 00:03:34,67,Mithat Can’s Apple Watch
2022-12-09 11:47:27,74,Mithat Can’s Apple Watch
2022-12-10 00:03:02,80,Mithat Can’s Apple Watch
2022-12-11 00:06:15,84,Mithat Can’s Apple Watch
2022-12-13 15:38:29,76,Mithat Can’s Apple Watch
2022-12-14 11:57:39,68,Mithat Can’s Apple Watch
2022-12-15 11:16:46,72,Mithat Can’s Apple Watch
2022-12-16 15:22:31,72,Mithat Can’s Apple Watch
2022-12-17 00:02:11,69,Mithat Can’s Apple Watch
2022-12-19 00:04:33,61,Mithat Can’s Apple Watch
2022-12-20 13:01:10,71,Mithat Can’s Apple Watch
2022-12-21 00:01:29,85,Mithat Can’s Apple Watch
2022-12-22 00:03:00,84,Mithat Can’s Apple Watch
2022-12-23 19:04:22,87,Mithat Can’s Apple Watch
